Library,Name,Sequence,Left Overhang,Right Overhang,Type,Resistance,Level,Vector,Composition,,,
,PSM-1,,0,4,plasmid,kanamycin,,pSB1K3,P1,R1,C1,T1
,PSM-2,,0,4,plasmid,kanamycin,,pSB1K3,P1,R2,C1,T1
,PSM-3,,0,4,plasmid,kanamycin,,pSB1K3,P1,R3,C1,T1
,PSM-4,,0,4,plasmid,kanamycin,,pSB1K3,P1,R4,C1,T1
,PSM-5,,0,4,plasmid,kanamycin,,pSB1K3,P1,R5,C1,T1
x,P1,,0,1,plasmid,chloramphenicol,0,pSB1C3,P1,,,
x,R1,,1,2,plasmid,chloramphenicol,0,pSB1C3,R1,,,
x,R2,,1,2,plasmid,chloramphenicol,0,pSB1C3,R2,,,
x,R3,,1,2,plasmid,chloramphenicol,0,pSB1C3,R3,,,
x,R4,,1,2,plasmid,chloramphenicol,0,pSB1C3,R4,,,
x,R5,,1,2,plasmid,chloramphenicol,0,pSB1C3,R5,,,
x,C1,,2,3,plasmid,chloramphenicol,0,pSB1C3,C1,,,
x,T1,,3,4,plasmid,chloramphenicol,0,pSB1C3,T1,,,
x,pSB1K3,,0,4,destination vector,kanamycin,1,pSB1K3,LacZ,,,
x,P1,,,,promoter,,,,,,,
x,R1,,,,RBS,,,,,,,
x,R2,,,,RBS,,,,,,,
x,R3,,,,RBS,,,,,,,
x,R4,,,,RBS,,,,,,,
x,R5,,,,RBS,,,,,,,
x,C1,,,,gene,,,,,,,
x,T1,,,,terminator,,,,,,,
x,LacZ,,,,gene,,,,,,,
x,pSB1K3,,,,vector,kanamycin,,,,,,
x,pSB1C3,,,,vector,chloramphenicol,,,,,,
