Library,Name,Sequence,Left Overhang,Right Overhang,Type,Resistance,Level,Vector,Composition,,,,,,,,,,,,
x,pSC101,,,,origin,,,,,,,,,,,,,,,,
x,T1,,,,terminator,,,,,,,,,,,,,,,,
x,pLlacO1,,,,promoter,,,,,,,,,,,,,,,,
x,tetR-lite,,,,gene,,,,,,,,,,,,,,,,
x,lambdaPr,,,,promoter,,,,,,,,,,,,,,,,
x,lacI-lite,,,,gene,,,,,,,,,,,,,,,,
x,pLtetO1,,,,promoter,,,,,,,,,,,,,,,,
x,lambdacI-lite,,,,gene,,,,,,,,,,,,,,,,
x,ampR,,,,resistance,,,,,,,,,,,,,,,,
,repressilator,,,,composite,,,,pLlacO1,tetR-lite,T1,lambdaPr,lacI-lite,T1,pLtetO1,lambdacI-lite,T1,pSC101,T1,ampR,T1
